56
# x y z
0	0	0
2	0	0
4	0	0.09
6	0	0.31
8	0	0.38
10	0	0.5
12	0	0.93
14	0	1.56
16	0	1.73
18	0	2.26
20	0	2.85
22	0	3.29
24	0	3.98
26	0	4.54
28	0	5.03
30	0	5.72
32	0	6.28
34	0	6.88
36	0	7.47
38	0	8.16
40	0	8.8
42	0	9.37
44	0	10.06
46	0	10.7
48	0	11.26
50	0	12.14
52	0	12.83
54	0	13.56
56	0	14.15
58	0	14.75
60	0	14.94
62	0	15.31
64	0	15.62
66	0	15.9
68	0	16.05
70	0	16.36
72	0	16.74
74	0	17.63
76	0	18.22
78	0	18.43
80	0	18.59
82	0	18.68
84	0	19.1
86	0	19.2
88	0	19.28
90	0	19.59
92	0	19.86
94	0	20.15
96	0	20.47
98	0	20.78
100	0	21.04
102	0	21.28
104	0	21.51
106	0	21.67
108	0	21.88
110	0	22.05
1943
# a b m n err i ip iperr k r rhoa u valid 
1	4	2	3	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	7.21898000000000e+01	0.00000000000000e+00	1
1	7	3	5	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.04877200000000e+02	0.00000000000000e+00	1
1	10	4	7	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.85628600000000e+02	0.00000000000000e+00	1
1	10	5	6	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.01999400000000e+02	0.00000000000000e+00	1
1	16	6	11	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.30674000000000e+02	0.00000000000000e+00	1
1	16	7	10	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.24683700000000e+02	0.00000000000000e+00	1
1	16	8	9	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.11461200000000e+02	0.00000000000000e+00	1
1	22	8	15	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.60661100000000e+02	0.00000000000000e+00	1
1	22	9	14	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.71627900000000e+02	0.00000000000000e+00	1
1	22	10	13	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.61942500000000e+02	0.00000000000000e+00	1
1	22	11	12	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.45462800000000e+02	0.00000000000000e+00	1
1	31	11	21	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.43934000000000e+02	0.00000000000000e+00	1
