             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
1.5848932e+004;     0.006784;     0.224806;    -0.154337;    -0.000045;   3492664600
2.5118864e+004;     0.006767;     0.225713;    -0.153116;    -0.000024;   3492664602
3.9810717e+004;     0.006674;     0.226536;    -0.152019;    -0.000016;   3492664604

             f;          Us1;          Us2;          Us3;          Us4;     Time [s];
4.5000000e+004;     4.897584;     3.000080;     2.970418;     1.239707;   3492660522
3.9810717e+004;     4.902454;     3.002399;     2.972490;     1.239772;   3492660523
3.1622777e+004;     4.908557;     3.005382;     2.974993;     1.239283;   3492660525
2.5118864e+004;     4.912239;     3.007347;     2.976372;     1.238291;   3492660527
1.9952623e+004;     4.914324;     3.008670;     2.977031;     1.236911;   3492660529
1.5848932e+004;     4.915601;     3.009694;     2.977300;     1.235252;   3492660531
1.2589254e+004;     4.916181;     3.010421;     2.977165;     1.233274;   3492660532
1.0000000e+004;     4.916266;     3.010928;     2.976715;     1.230989;   3492660534
7.9432823e+003;     4.917643;     3.012301;     2.977018;     1.228812;   3492660536
6.3095734e+003;     4.920795;     3.014783;     2.978276;     1.226805;   3492660538
5.0118723e+003;     4.923215;     3.016820;     2.978942;     1.224300;   3492660540
3.9810717e+003;     4.925716;     3.018865;     2.979488;     1.221489;   3492660541
3.1622777e+003;     4.927734;     3.020530;     2.979482;     1.218183;   3492660543
2.5118864e+003;     4.927472;     3.020649;     2.977817;     1.213916;   3492660545
1.9952623e+003;     4.926504;     3.020159;     2.975344;     1.209063;   3492660547
1.5848932e+003;     4.925686;     3.019502;     2.972530;     1.203828;   3492660549
1.2589254e+003;     4.924951;     3.018535;     2.969220;     1.198165;   3492660550
1.0000000e+003;     4.925499;     3.018007;     2.966064;     1.192365;   3492660552
7.9432823e+002;     4.925436;     3.016536;     2.961806;     1.185924;   3492660554
6.3095734e+002;     4.923883;     3.013445;     2.955835;     1.178615;   3492660556
5.0118723e+002;     4.926271;     3.012371;     2.951395;     1.171760;   3492660558
3.9810717e+002;     4.926569;     3.009129;     2.944703;     1.163821;   3492660559
3.1622777e+002;     4.922963;     3.002490;     2.934657;     1.154350;   3492660561
2.5118864e+002;     4.924284;     2.998453;     2.926625;     1.145481;   3492660563
1.9952623e+002;     4.928062;     2.995353;     2.919065;     1.136575;   3492660565
1.5848932e+002;     4.924611;     2.986722;     2.906231;     1.125325;   3492660567
1.2589254e+002;     4.922189;     2.978284;     2.893166;     1.113720;   3492660568
1.0000000e+002;     4.929915;     2.976223;     2.885444;     1.103908;   3492660570
7.9432823e+001;     4.926571;     2.966345;     2.870360;     1.090930;   3492660572
6.3095734e+001;     4.924176;     2.956865;     2.855199;     1.077617;   3492660574
5.0118723e+001;     4.932169;     2.954015;     2.845521;     1.066072;   3492660576
3.9810717e+001;     4.928926;     2.943466;     2.828521;     1.051429;   3492660577
3.1622777e+001;     4.926716;     2.933397;     2.811497;     1.036460;   3492660579
2.5118864e+001;     4.925367;     2.923552;     2.794200;     1.021062;   3492660581
1.9952623e+001;     4.924522;     2.913782;     2.776547;     1.005180;   3492660583
1.5848932e+001;     4.924169;     2.904235;     2.758769;     0.988870;   3492660585
1.2589254e+001;     4.924143;     2.895171;     2.741213;     0.972247;   3492660587
1.0000000e+001;     4.924016;     2.886892;     2.724296;     0.955488;   3492660589
7.9432820e+000;     4.924008;     2.880375;     2.709088;     0.939015;   3492660591
6.3095730e+000;     4.923878;     2.875581;     2.695669;     0.923012;   3492660594
5.0118720e+000;     4.923722;     2.872561;     2.684178;     0.907612;   3492660596
3.9810720e+000;     4.923602;     2.870646;     2.674022;     0.892761;   3492660598
3.1622780e+000;     4.923497;     2.869365;     2.664784;     0.878393;   3492660601
2.5118860e+000;     4.923398;     2.867776;     2.655479;     0.864409;   3492660604
1.9952620e+000;     4.923560;     2.866418;     2.646628;     0.850945;   3492660607
1.5848930e+000;     4.923991;     2.864342;     2.637199;     0.837736;   3492660611
1.2589250e+000;     4.924580;     2.861823;     2.627441;     0.824797;   3492660615
1.0000000e+000;     4.925319;     2.859838;     2.618313;     0.812419;   3492660620
7.9432800e-001;     4.926615;     2.857100;     2.608354;     0.800264;   3492660626
5.0118700e-001;     4.928118;     2.850524;     2.587680;     0.772522;   3492660634
3.1622800e-001;     4.930075;     2.845764;     2.568400;     0.745930;   3492660645
1.9952600e-001;     4.931754;     2.832470;     2.538795;     0.722038;   3492660662
1.2589300e-001;     4.933528;     2.840056;     2.530427;     0.693667;   3492660688
7.9433000e-002;     4.935118;     2.833681;     2.505382;     0.671998;   3492660730
5.0119000e-002;     4.936757;     2.819424;     2.469866;     0.650150;   3492660792
3.1623000e-002;     4.938425;     2.821943;     2.451516;     0.630495;   3492660891
1.9953000e-002;     4.940221;     2.821286;     2.431679;     0.603835;   3492661044
1.2589000e-002;     4.942331;     2.805328;     2.399156;     0.570814;   3492661287
6.3100000e-003;     4.946119;     2.796239;     2.372697;     0.505623;   3492661765
2.5120000e-003;     4.950069;     2.842531;     2.400740;     0.425772;   3492662962
3.9810000e-003;     4.947208;     2.840682;     2.407191;     0.485395;   3492663719
1.0000000e-002;     4.940342;     2.831500;     2.413902;     0.612533;   3492664020
1.5849000e-002;     4.937377;     2.864073;     2.460747;     0.665935;   3492664214
2.5119000e-002;     4.934370;     2.893541;     2.509777;     0.714022;   3492664335
3.9811000e-002;     4.931822;     2.914251;     2.552861;     0.752018;   3492664415
6.3096000e-002;     4.929733;     2.947730;     2.610511;     0.778031;   3492664467
1.0000000e-001;     4.927554;     2.973188;     2.658625;     0.806482;   3492664499
1.5848900e-001;     4.925689;     2.960911;     2.666693;     0.831555;   3492664523
2.5118900e-001;     4.923501;     2.971269;     2.696009;     0.858610;   3492664537
3.9810700e-001;     4.921737;     2.952760;     2.695414;     0.884854;   3492664546
6.3095700e-001;     4.919864;     2.961306;     2.720642;     0.912836;   3492664553
1.0000000e+000;     4.917970;     2.956090;     2.732018;     0.938351;   3492664557
1.5848930e+000;     4.916591;     2.957074;     2.749278;     0.964131;   3492664561
2.5118860e+000;     4.916164;     2.960274;     2.768685;     0.989916;   3492664564
3.9810720e+000;     4.916456;     2.965751;     2.790244;     1.016393;   3492664567
6.3095730e+000;     4.916872;     2.976568;     2.816533;     1.044864;   3492664569
1.0000000e+001;     4.917158;     2.988634;     2.843391;     1.073618;   3492664571
1.5848932e+001;     4.917835;     2.998477;     2.867182;     1.100511;   3492664573
2.5118864e+001;     4.919599;     3.006781;     2.888377;     1.124547;   3492664575
3.9810717e+001;     4.923686;     3.015145;     2.908281;     1.145807;   3492664577
6.3095734e+001;     4.919638;     3.016873;     2.920979;     1.162119;   3492664578
1.0000000e+002;     4.925868;     3.024738;     2.937890;     1.178378;   3492664580
1.5848932e+002;     4.921113;     3.024351;     2.946315;     1.189821;   3492664582
2.5118864e+002;     4.921416;     3.026606;     2.956020;     1.200783;   3492664584
3.9810717e+002;     4.924036;     3.029603;     2.965481;     1.210940;   3492664586
6.3095734e+002;     4.921804;     3.028508;     2.970470;     1.218737;   3492664587
1.0000000e+003;     4.923677;     3.029555;     2.976669;     1.226657;   3492664589
1.5848932e+003;     4.924137;     3.029128;     2.980965;     1.233480;   3492664591
2.5118864e+003;     4.926126;     3.029386;     2.985297;     1.240048;   3492664593
3.9810717e+003;     4.924365;     3.027241;     2.986675;     1.245102;   3492664595
6.3095734e+003;     4.919483;     3.023188;     2.985659;     1.248821;   3492664596
1.0000000e+004;     4.914789;     3.019486;     2.984434;     1.252097;   3492664598
1.5848932e+004;     4.914241;     3.018679;     2.985609;     1.256030;   3492664600
2.5118864e+004;     4.910816;     3.016689;     2.985181;     1.259005;   3492664602
3.9810717e+004;     4.900973;     3.011987;     2.981661;     1.260531;   3492664604
