70
# x y z
5	0	0
10	0	0
15	0	0
20	0	0
25	0	0
30	0	0
35	0	0
40	0	0
45	0	0
50	0	0
55	0	0
60	0	0
65	0	0
70	0	0
75	0	0
80	0	0
85	0	0
90	0	0
95	0	0
100	0	0
105	0	0
110	0	0
115	0	0
120	0	0
125	0	0
130	0	0
135	0	0
140	0	0
145	0	0
150	0	0
155	0	0
160	0	0
165	0	0
170	0	0
175	0	0
180	0	0
185	0	0
190	0	0
195	0	0
200	0	0
205	0	0
210	0	0
215	0	0
220	0	0
225	0	0
230	0	0
235	0	0
240	0	0
245	0	0
250	0	0
255	0	0
260	0	0
265	0	0
270	0	0
275	0	0
280	0	0
285	0	0
290	0	0
295	0	0
300	0	0
305	0	0
310	0	0
315	0	0
320	0	0
325	0	0
330	0	0
335	0	0
340	0	0
345	0	0
350	0	0
6035
# a b m n
1	4	2	3
1	5	2	3
1	5	3	4
1	6	2	3
1	6	3	4
1	6	4	5
1	7	2	3
1	7	3	4
1	7	4	5
1	7	5	6
1	8	2	3
1	8	3	4
1	8	4	5
1	8	5	6
1	8	6	7
1	9	2	3
1	9	3	4
1	9	4	5
1	9	5	6
1	9	6	7
1	9	7	8
1	10	2	3
1	10	3	4
1	10	4	5
1	10	5	6
1	10	6	7
1	10	7	8
1	10	8	9
1	11	2	3
1	11	3	4
1	11	4	5
1	11	5	6
1	11	6	7
1	11	7	8
1	11	8	9
1	11	9	10
1	12	2	3
1	12	3	4
1	12	4	5
1	12	5	6
1	12	6	7
1	12	7	8
1	12	8	9
1	12	9	10
1	12	10	11
1	13	2	3
1	13	3	4
1	13	4	5
1	13	5	6
1	13	6	7
1	13	7	8
1	13	8	9
1	13	9	10
1	13	10	11
1	13	11	12
1	14	2	3
1	14	3	4
1	14	4	5
1	14	5	6
1	14	6	7
1	14	7	8
1	14	8	9
1	14	9	10
1	14	10	11
1	14	11	12
1	14	12	13
1	15	2	3
1	15	3	4
1	15	4	5
1	15	5	6
1	15	6	7
1	15	7	8
1	15	8	9
1	15	9	10
1	15	10	11
1	15	11	12
1	15	12	13
1	15	13	14
1	16	2	3
1	16	3	4
1	16	4	5
1	16	5	6
1	16	6	7
1	16	7	8
1	16	8	9
1	16	9	10
1	16	10	11
1	16	11	12
1	16	12	13
1	16	13	14
1	16	14	15
1	17	2	3
1	17	3	4
1	17	4	5
1	17	5	6
1	17	6	7
1	17	7	8
1	17	8	9
1	17	9	10
1	17	10	11
1	17	11	12
1	17	12	13
1	17	13	14
1	17	14	15
1	17	15	16
1	18	2	3
1	18	3	4
1	18	4	5
1	18	5	6
1	18	6	7
1	18	7	8
1	18	8	9
1	18	9	10
1	18	10	11
1	18	11	12
1	18	12	13
1	18	13	14
1	18	14	15
1	18	15	16
1	18	16	17
1	19	2	3
1	19	3	4
1	19	4	5
1	19	5	6
1	19	6	7
1	19	7	8
1	19	8	9
1	19	9	10
1	19	10	11
1	19	11	12
1	19	12	13
1	19	13	14
1	19	14	15
